sample_index,question,answer,ground_truth,num_contexts,contexts,faithfulness
10,Làm thế nào để phân biệt bệnh ở kinh Cân và bệnh ở chính kinh?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bệnh ở kinh Cân không có triệu chứng của tạng phủ tương ứng, trong khi bệnh ở chính kinh thường kèm theo các triệu chứng của tạng phủ hoặc biểu hiện ở đoạn đường kinh tương ứng.",0,,
11,Triệu chứng của hội chứng Hàn trệ Can mạch là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Đau nhiều vùng bụng dưới, đau co thắt, vặn xoắn, lạnh bụng, đau bụng kinh hoặc đau lan xuống bộ phận sinh dục.",0,,
12,Phong nhiệt phạm kinh Dương minh Vị và Đại trường thường biểu hiện qua bệnh cảnh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Thường gặp trong các bệnh lý như liệt mặt hoặc đau dây thần kinh mặt.,0,,
13,Phong nhiệt phạm mạch Đốc thường liên quan đến các bệnh lý nào trong Tây y?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thường gặp trong liệt tứ chi do viêm tủy cấp, viêm màng não, uốn ván, bại não hoặc viêm não.",0,,
14,Thấp nhiệt phạm mạch Xung thường gây ra các bệnh lý gì ở phụ nữ?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Gây viêm âm đạo, viêm phần phụ hoặc viêm đường tiểu thấp.",0,,
15,Triệu chứng chính của hội chứng Thấp nhiệt Đại trường là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sốt cao, đau quanh rốn, mót rặn (lý cấp hậu trọng), bụng trướng, phân nhầy nhớt hoặc lẫn máu.",0,,
16,Hội chứng Nhiệt bức Đại trường thường gặp trong trường hợp nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thường gặp trong tiêu chảy nhiễm trùng, viêm dạ dày - ruột cấp hoặc ngộ độc thức ăn.",0,,
17,Triệu chứng lâm sàng của Đại trường hàn kết là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bụng đau nhiều, chối nấn, đầy trướng, táo bón, mặt trắng, môi nhợt, tay chân mát và mạch trầm huyền.",0,,
18,Đặc điểm của hội chứng Vị thấp nhiệt là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Miệng đắng, khát mà không dám uống, đau thượng vị, buồn nôn, trướng bụng, tiêu chảy và cảm giác nặng nề toàn thân.",0,,
19,Triệu chứng của Vị nhiệt ủng thịnh bao gồm những gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Miệng khô khát, môi nứt nẻ, dễ đói, chảy máu nướu răng, đại tiện bí kết và tiểu sển đỏ.",0,,
20,Can Đởm thấp nhiệt có những triệu chứng đặc trưng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sốt cao rét run, vàng da, miệng đắng, chán ăn, đau bụng thượng vị lan sang hông sườn và nôn mửa.",0,,
21,Triệu chứng quan trọng của Nhiệt kết Bàng quang là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Tiểu vàng, tiểu máu, tiểu gắt, bụng dưới trướng đầy và mót đái mà đái không hết.",0,,
22,Phong hàn thúc Phế thường biểu hiện như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sợ lạnh, sợ gió, ho có đờm trong, mũi nghẹt, chảy nước mũi, đau đầu, đau nhức lưng và toàn thân.",0,,
23,Pháp trị cho hội chứng Phong nhiệt phạm Phế là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sơ phong thanh nhiệt, tuyên Phế, hóa đờm.",0,,
24,Táo khí thương Phế có triệu chứng chính là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Miệng khô, khát nước, ho khan hoặc ho có đờm máu, đau ngực, họng khô và khàn tiếng.",0,,
25,Hàn thấp khốn Tỳ thường biểu hiện qua những triệu chứng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Buồn nôn, tiêu chảy phân lỏng, đau thượng vị, trướng bụng và ăn kém.",0,,
26,Hội chứng Nhiệt nhập Tâm bào có đặc điểm lâm sàng như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Mê sảng, nói lảm nhảm, hôn mê, vật vã và sốt cao.",0,,
27,Tác giả của phương pháp biện giải bệnh ngoại cảm Thương hàn là ai?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Trương Trọng Cảnh (còn gọi là Trương Cơ).,0,,
28,Thương hàn luận khảo sát diễn tiến bệnh qua bao nhiêu giai đoạn chính?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","6 giai đoạn chính: Thái dương, Dương minh, Thiếu dương, Thái âm, Thiếu âm và Quyết âm.",0,,
29,Đặc điểm chung của 3 kinh dương trong Thương hàn luận là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Tà khí thịnh, chính khí chưa suy; biểu hiện ở biểu, ở ngoài hoặc ở phủ; chủ yếu là nhiệt chứng và thực chứng.",0,,
30,Đặc điểm chung của 3 kinh âm trong Thương hàn luận là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Chính khí suy yếu; biểu hiện ở lý, ở tạng; chủ yếu là hàn chứng và hư chứng.",0,,
31,Quy luật truyền biến 'Trực trúng' trong Thương hàn là gì?,Bạn không đủ dữ liệu để kết luận.,Là tình trạng bệnh tà đi thẳng vào tam âm mà không qua truyền biến từ các kinh dương.,1,"{
  ""quy_luat_truyen_bien"": {
    ""quy_luat_truyen_bien"": ""Thương hàn là một bệnh truyền nhiễm cấp tính gây ra bởi rickettsia. Thương hàn phổ biến có thể được chia thành thương hàn phổ biến và thương hàn địa phương. Bệnh thương hàn do rickettsia pneumoniae, lây lan qua chấy, chủ yếu vào mùa đông và mùa xuân. Bệnh thương hàn đặc hữu do nhiễm rickettsia pneumoniae, được truyền qua chuột và bọ chét, chiếm ưu thế trong mùa hè và mùa thu. Các trường hợp địa phương nhẹ hơn so với các trường hợp dịch bệnh.\nThời gian ủ bệnh là 5 đến 21 ngày, hầu hết là 10 đến 12 ngày. Các biểu hiện bao gồm khởi phát đột ngột, ớn lạnh, sốt cao, đau đầu dữ dội, đau cơ và đau đớn, đặc biệt là cơ ruột, đỏ bừng mặt, tắc nghẽn kết mạc, cũng như các triệu chứng thần kinh như mất ngủ, ù tai, mê sảng, hưng cảm và thậm chí hôn mê. Có thể có xung tăng hoặc viêm cơ tim trung độc. Vào ngày thứ năm sau khi phát bệnh, phát ban xung huyết hoặc mụn xuất hiện khắp cơ thể, sau đó có thể chảy máu và lá lách mở rộng.\nDịch sốt phát ban vẫn thuộc về các bệnh lây truyền từ người sang người, với con người là vật chủ duy nhất và chấy cơ thể là phương tiện truyền thông. Sốt phát ban đặc hữu là một bệnh do tác nhân gây bệnh tự nhiên gây ra bởi musericktsia, động vật gặm nhấm là vật chủ lưu trữ, bọ chét là phương tiện truyền thông và con người là nạn nhân."",
    ""bệnh"": ""Thương hàn""
  }
}",
32,Nguyên tắc điều trị chủ yếu cho Tam dương bệnh là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Khu tà (tác động trực tiếp đến nguyên nhân gây bệnh).,0,,
33,Nguyên tắc điều trị chủ yếu cho Tam âm bệnh là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Phù chính (nâng đỡ tổng trạng, tăng cường chính khí) kết hợp với khu tà tùy tình trạng.",0,,
34,Hệ thống Thái dương trong Đông y bao gồm những kinh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Túc Thái dương Bàng quang và Thủ Thái dương Tiểu trường.,0,,
35,Triệu chứng quan trọng nhất của bệnh ở giai đoạn Thái dương là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Mạch phù, đầu cổ cứng đau và sợ lạnh.",0,,
36,Thái dương trúng phong có các triệu chứng đặc trưng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Phát sốt, đổ mồ hôi, sợ gió lạnh, đầu cổ cứng đau và mạch phù hoãn.",0,,
37,Pháp trị cho Thái dương trúng phong là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Giải cơ khu phong, điều hòa vinh vệ.",0,,
38,Hội chứng Thiếu dương có các triệu chứng chính nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Miệng đắng, họng khô, mắt hoa, hàn nhiệt vãng lai (lúc sốt lúc rét), tâm phiền và nôn mửa.",0,,
39,Triệu chứng chính của hội chứng Dương minh là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sốt cao, khát nước và phiền táo.",0,,
40,Thái âm chứng có những biểu hiện lâm sàng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bụng đầy đau, nôn mửa, tiêu chảy, lưỡi nhạt, rêu trắng mỏng và mạch trì hoãn.",0,,
41,Hội chứng Quyết âm có triệu chứng đặc trưng là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Chân tay quyết nghịch (lạnh từ đầu chi trở vào).,0,,
42,Đặc điểm khởi phát của ngoại cảm Ôn bệnh là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Khởi phát bằng bệnh cảnh nhiệt: sốt cao và khát nước ngay từ đầu.,0,,
43,Ngô Cúc Thông biện giải diễn biến Ôn bệnh theo hệ thống nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Theo Tam tiêu, gồm 3 giai đoạn: nhiệt tà ở Thượng tiêu, Trung tiêu và Hạ tiêu.",0,,
44,Diệp Thiên Sỹ biện giải Ôn bệnh theo các giai đoạn nông sâu nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Theo 4 giai đoạn: Vệ phận, Khí phận, Dinh phận và Huyết phận.",0,,
45,Nguyên nhân gây ra bệnh Dịch lệ là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Do lệ khí, được hình thành từ tà khí lục dâm phối hợp với tử khí từ xác chết.",0,,
46,Dịch lệ có đặc điểm gì khác với các bệnh ngoại cảm thông thường?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bệnh rất nặng, lây lan thành dịch, diễn biến rất nhanh, dễ tử vong và thường xảy ra sau thiên tai.",0,,
47,"Trong bài thuốc Đông y, vai trò của vị thuốc 'Quân' là gì?","Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là vị thuốc chính, có tác dụng điều trị trực tiếp nguyên nhân gây bệnh hoặc triệu chứng chính của bệnh.",0,,
48,Vai trò của vị thuốc 'Thần' trong đơn thuốc là gì?,"Bạn không đủ dữ liệu để kết luận về vai trò của vị thuốc ""Thần"" trong đơn thuốc. Các nguồn tham chiếu không cung cấp thông tin cụ thể về ""vị thuốc 'Thần'"" hay vai trò của nó.",Là vị thuốc hỗ trợ cho vị Quân để tăng cường tác dụng điều trị.,4,"{
  ""vai_trò_thuốc"": {
    ""thuốc"": ""[Tâm Bảo Hoàn, Thần Tiên Sinh Mạch uống dịch]"",
    ""vai_trò"": ""['Taian Tang Pharmaceutical Xinbao Bolus (Xinbao Bolus)','Xinbao Pharmaceutical Xinbao Bolus (Xinbao Bolus)','Step Pharmaceutical Immorous Vein Oral Liquid'(Immorous Vein Oral Liquid)','Big Red Eagle Pharmaceutical Cycloadenosine Glucose Injection (Cycloadenosine Glucamine Injection)','East Pharmaceutical Cycloadenosine Glucose Injection' (Cycloadenosine Glucose Injection)','Shandong Phoenix Pharmaceutical Cycloadenosine Glucose Injection'(Cycloadenosine Glucose Injection), Tianfang Huazhong Pharmaceutical Cycloadenosine Glucose Injection Adenosine Glucosamine Injection), Lei Yin Shang Pharmaceutical Linbao Heart Care Pill (Linbao Heart Care Pill), Rexter Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection) , và Suan (Cycloadenosine Glucosamine Injection) \""Thành Đô Tiantai Shan Dược phẩm Cycloadenosine Glucosamine Injection\"", \""Sanlu Dược phẩm Cycloadenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)\"", \""Huino Dược phẩm Cycloadenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)\"", \""Taisho Dược phẩm Cycloadenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)\"", \""Shinho Dược phẩm Cycloadenosine Glucosamine Injection Chất lỏng),'Dương Châu Zhongbao Adenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)', \""Kangyuan Pharmaceutical Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", Ruyang Pharmaceutical Adenosine Triphosphate Injection (Adenosine Triphosphate Injection)""
  }
}

---

{
  ""vai_trò_thuốc"": {
    ""thuốc"": ""[Tạo Nhân An Thần Hạt, Thanh Tâm Trầm Hương Bát Vị Hoàn]"",
    ""vai_trò"": ""[\""Taihua sinh vật tự nhiên làm cho con người an thần viên\"",\""Fuyao Qingxin trầm hương bát vị thuốc\"",\""Chen Li Ki thuốc tăng cường sức khỏe não viên\"",\""Sửa chữa gai năm cộng với viên\"",\""AODong an thần bổ sung chất lỏng\"",\""Shanxi Renyuan Tang tiêu mộng viên\"",\""Siping Zheng và bầm an thần viên\"",\""Hồ Trác nhân sâm viên sức khỏe viên thuốc Chiết Giang Yuetui Pearl Powder Con người và Brain Capsule Thiên tuyển Qingthine Capsule Quảng Đông Wannian Qingthine Shouu bổ sung chất lỏng Bắc Kinh Dongsheng dưỡng máu an thần viên\"",\""Tianjiao Keo\"" Giang Tây Tongamerican thần viên\""] (văn) ① Lầm lẫn; ② Giả dối; ③ Giả dối; ③ Giả dối; ③ Giả dối.""
  }
}

---

{
  ""vai_trò_thuốc"": {
    ""thuốc"": ""[Tâm Bảo Hoàn, Thần Tiên Sinh Mạch uống dịch]"",
    ""vai_trò"": ""['Kirin thương hiệu Cardio Pill (Cardio Pill)','Tinh thần thương hiệu Cardio Pill (Cardio Pill)','Step Immortality Vein Oral Liquid (Immortality Vein Oral Liquid)','Ningbo Big Eagle CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection)','Shandong Mingcycloadenosine Glucosamine Injection'(Cycloadenosine Glucosamine Injection)','Sơn Đông Phoenix Cycloadenosine Glucosamine Injection' (Cycloadenosine Glucosamine Injection)','Sơn Đông Phoenix Cycloadenosine Glucosamine Injection'(Cycloadenosine Glucosamine Injection), Hà Nam Tianfang Huazhong Cycloadenosine Glucosamine Injection (Cycloadenosine)Tiêm Glucosamine), Lei Yunshang Dược phẩm Lingbo Heart Care Pill (Lingbo Heart Care Pill), Chengdu Lishi Cycline Adenosine Amino Grape Injection (Cycline Adenosine Glucosamine Injection), Suan (Cycline Adenosine Glucosamine Injection) \""Chengdu Tiantai Shan Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Shandong Shenglu Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Shandong Huinor Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Changchun Taizen Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Changchun Taizen Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"" \""Thanh Đảo Haida Cyclic Adenosine Cyclic Glucosamine Glucose Injection ^ a ă â b c d đ\""Glycine O'Dongnan Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\""(bằng tiếng Anh). Chumpua CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection) Quảng Đông Xinghao CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection) Dương Châu Zhongbao CycloAdenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection) Giang Tô Kangyuan CycloAdenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection) Bảy lần Cycloadenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)""
  }
}

---

{
  ""vai_trò_thuốc"": {
    ""thuốc"": ""[Tâm Bảo Hoàn, Thần Tiên Sinh Mạch uống dịch]"",
    ""vai_trò"": ""['Kirin thương hiệu Cardio Pill (Cardio Pill)','Tinh thần thương hiệu Cardio Pill (Cardio Pill)','Step Immortality Vein Oral Liquid (Immortality Vein Oral Liquid)','Ningbo Big Eagle CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection)','Shandong Mingcycloadenosine Glucosamine Injection'(Cycloadenosine Glucosamine Injection)','Sơn Đông Phoenix Cycloadenosine Glucosamine Injection' (Cycloadenosine Glucosamine Injection)','Sơn Đông Phoenix Cycloadenosine Glucosamine Injection'(Cycloadenosine Glucosamine Injection), Hà Nam Tianfang Huazhong Cycloadenosine Glucosamine Injection (Cycloadenosine)Tiêm Glucosamine), Lei Yunshang Dược phẩm Lingbo Heart Care Pill (Lingbo Heart Care Pill), Chengdu Lishi Cycline Adenosine Amino Grape Injection (Cycline Adenosine Glucosamine Injection), Suan (Cycline Adenosine Glucosamine Injection) \""Chengdu Tiantai Shan Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Shandong Shenglu Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Shandong Huinor Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Changchun Taizen Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"", \""Changchun Taizen Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\"" \""Thanh Đảo Haida Cyclic Adenosine Cyclic Glucosamine Glucose Injection ^ a ă â b c d đ\""Glycine O'Dongnan Cyclic Adenosine Glucosamine Injection (Cyclic Adenosine Glucosamine Injection)\""(bằng tiếng Anh). Chumpua CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection) Quảng Đông Xinghao CycloAdenosine Glucosamine Injection (CycloAdenosine Glucosamine Injection) Dương Châu Zhongbao CycloAdenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection) Giang Tô Kangyuan CycloAdenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection) Bảy lần Cycloadenosine Glucosamine Injection (Cycloadenosine Glucosamine Injection)""
  }
}",1.0
49,Vị thuốc 'Tá' có vai trò gì trong cấu trúc bài thuốc?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Có tác dụng hỗ trợ vị Quân/Thần, điều trị các triệu chứng phụ, hoặc làm giảm độc tính của các vị thuốc khác.",0,,
50,Vị thuốc 'Sứ' đóng vai trò gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Có tác dụng dẫn thuốc đến nơi có bệnh hoặc điều hòa các vị thuốc trong bài.,0,,
51,Phối ngũ 'Tương tu' trong Đông dược là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là sự phối hợp giữa hai vị thuốc có cùng tính vị và tác dụng để tăng cường hiệu quả điều trị.,0,,
52,Thế nào là phối ngũ 'Tương úy'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là khi một vị thuốc có thể làm giảm bớt độc tính hoặc tác dụng phụ của vị thuốc khác.,0,,
53,Thế nào là phối ngũ 'Tương phản'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là khi hai vị thuốc phối hợp với nhau sẽ gây ra tác dụng phụ nguy hiểm hoặc độc tính cho cơ thể.,0,,
54,Ưu điểm của phương pháp kê đơn 'Cổ phương gia giảm' là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Thể hiện đầy đủ tính chất lý pháp của Đông y dựa trên các bài thuốc kinh điển đã được kiểm chứng qua nhiều đời.,0,,
55,Nhược điểm của phương pháp kê đơn theo 'Toa căn bản' là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Không thể hiện được tính lý pháp của Đông y và đôi khi sử dụng quá nhiều vị thuốc không cần thiết.,0,,
56,Tạng Thận trong Đông y ứng với quẻ nào trong Hậu thiên bát quái?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thận ứng với quẻ Khảm, tượng trưng cho nước.",0,,
57,Tại sao tạng Thận được gọi là 'Thủy tạng'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Vì theo Kinh dịch và lý luận Đông y, tượng của quẻ Khảm (Thận) là nước, nên Thận chủ thủy.",0,,
